,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,waterheight
11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.905168088,1,0.997706422,0.970493429,0.295617899,0.99908341,1,1,1,1,1,0.704961661,0.610329777,0.698978609,0.80206526,0.914555893,0.9146357,0.99280144,0.999376559,0.998543218,1,1,0.971932809,0.981068218,0.528779322,0.923709798,0.97135933,0.999224606,1,1,1,0.984946237,0.669250646,0.961388889,1,1,1,1,1,0.999362359,0.997901564,1,1,1,1,1,1,1,0.967039106,0.917594655,0.85708061,0.774922521,0.837039117,1,0.797934649,0.786283393,0.765720558,0.737063389,0.724010892,0.732375592,0.70779994,0.502258785,0.529458347,0.848543208,1,0.995237685,0.145677695,1,0.935978532,0.997766195,1,1,1,0.955403087,1,1,-290
12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.905168088,1,0.997706422,0.96999752,0.295154185,0.99908341,1,1,1,1,1,0.701984332,0.609165858,0.698978609,0.801701461,0.914555893,0.913511894,0.99280144,0.999220698,0.998543218,1,1,0.971932809,0.980962454,0.527584709,0.923335826,0.97135933,0.999224606,1,1,1,0.984946237,0.669250646,0.961111111,1,1,1,1,1,0.999336853,0.997901564,1,1,1,1,1,1,1,0.967039106,0.915924276,0.85620915,0.773889463,0.836749557,1,0.797780518,0.786283393,0.765250118,0.737063389,0.724010892,0.732375592,0.70779994,0.501878358,0.527557808,0.847065441,1,0.995208997,0.145010672,1,0.935403489,0.997766195,1,1,1,0.954831332,1,1,-289
13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.904666332,1,0.997706422,0.969501612,0.295154185,0.99908341,1,1,1,1,1,0.698707606,0.607759457,0.698400463,0.8014496,0.914555893,0.9124705,0.99265147,0.999220698,0.998543218,1,1,0.971932809,0.980962454,0.526715899,0.923148841,0.97135933,0.999224606,1,1,1,0.984946237,0.669250646,0.960833333,1,1,1,1,1,0.9993241,0.997901564,1,1,1,1,1,1,1,0.967039106,0.91481069,0.855337691,0.772210744,0.836416124,1,0.797472256,0.786283393,0.765093304,0.736901682,0.724010892,0.732375592,0.707502233,0.501355271,0.525340513,0.845663946,1,0.995180308,0.144877268,1,0.934828445,0.997766195,1,1,1,0.954331046,1,1,-288
14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.904666332,1,0.997706422,0.969501612,0.295154185,0.99908341,1,1,1,1,1,0.695464147,0.606547042,0.698207747,0.801169754,0.914555893,0.911301742,0.99235153,0.999220698,0.998543218,1,1,0.971720179,0.98085669,0.525629887,0.922774869,0.971139017,0.999224606,1,1,1,0.984946237,0.669250646,0.960833333,1,1,1,1,1,0.999298595,0.997901564,1,1,1,1,1,1,1,0.966480447,0.914253898,0.854030501,0.770532025,0.836082691,1,0.797163995,0.786283393,0.764936491,0.736901682,0.723690533,0.732079384,0.707055671,0.500784631,0.524073487,0.844195714,1,0.995180308,0.14434365,1,0.934445083,0.997766195,1,0.999630724,1,0.953616352,1,1,-287
15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.904666332,1,0.997706422,0.968757749,0.295154185,0.99908341,1,1,1,1,1,0.691605263,0.605722599,0.698207747,0.800973862,0.914555893,0.910222888,0.99235153,0.999064838,0.998543218,1,1,0.971507548,0.98085669,0.524435274,0.922400898,0.970698392,0.999224606,1,1,1,0.984946237,0.669250646,0.96,1,1,1,1,1,0.999273089,0.997901564,1,1,1,1,1,1,1,0.966480447,0.913140312,0.853159041,0.768982438,0.835793131,1,0.796855734,0.786127168,0.764622863,0.736901682,0.723690533,0.731783175,0.706757964,0.500309097,0.521697814,0.842851422,1,0.995180308,0.143943436,1,0.934061721,0.997766195,1,0.999630724,1,0.952973128,1,1,-286
16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.904666332,1,0.997706422,0.968013885,0.294922328,0.99908341,1,1,1,1,1,0.687613313,0.604607177,0.698207747,0.800666032,0.914555893,0.909226447,0.99235153,0.999064838,0.998543218,1,1,0.971507548,0.980750925,0.523783666,0.92183994,0.970478079,0.998966141,1,1,1,0.984946237,0.669250646,0.96,1,1,1,1,1,0.999260336,0.997901564,1,1,1,1,1,1,1,0.965921788,0.912583519,0.852287582,0.76794938,0.835486022,1,0.796701603,0.785970942,0.764622863,0.736901682,0.723370175,0.731635071,0.706460256,0.499738456,0.519955654,0.841554801,1,0.995180308,0.143676628,1,0.933486678,0.997766195,1,0.999630724,1,0.952186964,1,1,-285
17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.904666332,1,0.997706422,0.966774114,0.294690471,0.99908341,1,1,1,1,1,0.684120357,0.603200776,0.697436886,0.80047014,0.914555893,0.908409815,0.99235153,0.999064838,0.998543218,1,1,0.971294918,0.980750925,0.522697654,0.921091997,0.970037453,0.998966141,1,1,1,0.984946237,0.669250646,0.959722222,1,1,1,1,1,0.999247583,0.997710797,1,1,1,1,1,1,1,0.965921788,0.91091314,0.850544662,0.765883264,0.835170138,1,0.796547472,0.785502265,0.764622863,0.736901682,0.723370175,0.731486967,0.706311402,0.499453136,0.517896737,0.840296316,1,0.995180308,0.14314301,1,0.933294997,0.997766195,1,0.999630724,1,0.951114923,1,1,-284
18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.983333333,1,1,1,1,1,1,1,0.904666332,1,0.997706422,0.966774114,0.294458613,0.99908341,1,1,1,1,1,0.680228206,0.601842871,0.697051455,0.800274249,0.914555893,0.907398389,0.99205159,0.998908978,0.998543218,1,1,0.971294918,0.980645161,0.521828844,0.920905011,0.969596827,0.998966141,1,1,1,0.984946237,0.669250646,0.958611111,1,1,1,1,1,0.999234831,0.997710797,1,1,1,1,1,1,1,0.965363128,0.91091314,0.850108932,0.764333678,0.83474896,1,0.796547472,0.78534604,0.764622863,0.736901682,0.723049816,0.731338863,0.706013695,0.498787389,0.516471334,0.838932957,1,0.995180308,0.142609392,1,0.932911635,0.997766195,1,0.999446086,1,0.950757576,1,1,-283
19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.983333333,1,1,1,1,1,1,1,0.904666332,1,0.997706422,0.966526159,0.294226756,0.99908341,1,1,1,1,1,0.676685351,0.600581959,0.69685874,0.800022388,0.914555893,0.906424424,0.99205159,0.998908978,0.998543218,1,1,0.971294918,0.980539397,0.520742832,0.92053104,0.969376515,0.998966141,1,1,1,0.984946237,0.669250646,0.958055556,1,1,1,1,1,0.999209325,0.997710797,1,1,1,1,1,1,1,0.965363128,0.910356347,0.848801743,0.762913223,0.834450626,1,0.796393342,0.785033589,0.76446605,0.736901682,0.723049816,0.731338863,0.705864841,0.498454515,0.515204308,0.837607734,1,0.995180308,0.142609392,1,0.932624113,0.997766195,1,0.999446086,1,0.950114351,1,1,-282
20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.983333333,1,1,1,1,1,1,1,0.904666332,1,0.997706422,0.96603025,0.293763042,0.99908341,1,1,1,1,1,0.673075963,0.599078565,0.696473309,0.799686573,0.914555893,0.905450459,0.99190162,0.998908978,0.998543218,1,1,0.971082288,0.980539397,0.520308427,0.92053104,0.969376515,0.998966141,1,1,1,0.984946237,0.669250646,0.957777778,1,1,1,1,1,0.999209325,0.997710797,1,1,1,1,1,1,1,0.965363128,0.908129176,0.847930283,0.761880165,0.834213713,1,0.796393342,0.784877363,0.764309236,0.736901682,0.722729457,0.731042654,0.705715987,0.497883875,0.513145391,0.836292045,1,0.995180308,0.142342583,1,0.932144911,0.997766195,1,0.999261448,1,0.949685535,1,1,-281
